attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
ParkUnit	park name	categorical				
Plot	plot id	character				
EventID	event code	character				
EventDateTime	event data and time	Date		yyyy-mm-dd hh:mm		
Temperature_C	air temperature	numeric	Celcius			
WindSpeed	estimated speed	categorical				
WindDesc	wind speed description	categorical				
Rain	description	categorical				
PercentCloud	percent cloud	numeric	percent			
Noise	description	categorical				
NoiseSummary	effects on observations	categorical				
Interval	interval category	categorical				
ObservationNumber	integer sequence	numeric				
AOUCode	taxon code	categorical				
TSN	ITIS taxonomic number	categorical				
ScientificName	scientific name	categorical				
Family	family name	categorical				
CommonName	common name	categorical				
Distance	estimated distance	numeric	meters		-9999	no distance measure
DetectionType	detection description	categorical				
Sex	male female unknown	categorical				
Age	immature adult unknown	categorical				
FlockSize	count	numeric				
IsPreviousPlot	1 is true 0 is false	numeric				
IsFlyover	1 is true 0 is false	numeric				
Comments	notes	categorical			NULL	no comments
